구분,업소명,소재지(도로명),소재지전화번호,최신재지정일자,주된음식,데이터기준일자
160,홍익궁중전통육개장전주송천점,"전라북도 전주시 덕진구 솔내로 152, 1동 1층 101호 (송천동1가)",063 -277 -0099,2019-11-19,육게장,2020-10-31
161,황씨네대가추어탕,"전라북도 전주시 덕진구 송천로 47, 1동 1층 (송천동1가)",063 -255 -3773,2019-11-19,탕류,2020-10-31
162,짬뽕지존덕진점,"전라북도 전주시 덕진구 기린대로 499 (덕진동1가, 1동 103, 104, 109호)",063 -253 -5161,2019-11-19,짬뽕,2020-10-31
163,소통한우,전라북도 전주시 덕진구 세병2길 32-14 (송천동2가),063 -277 -8586,2019-11-19,구이류,2020-10-31
164,샤브쌈주머니하가점,"전라북도 전주시 덕진구 가련산로 31, 2층 (덕진동2가, 201호일부, 202호,203호)",063 -211 -0234,2019-11-19,샤브샤브,2020-10-31
165,전북한우협동조합총체보리한우정육식당전주점,"전라북도 전주시 덕진구 숲거리길 20-12, 1,2층 (전미동1가)",063 -253 -0200,2019-11-19,고기,2020-10-31
166,호랭이면옥,"전라북도 전주시 덕진구 동부대로 1132, 1층 (송천동2가)",063 -273 -1988,2019-11-19,초밥등,2020-10-31
167,한솔본가,"전라북도 전주시 덕진구 덕용2길 41, 1층 (동산동)",063 -213 -7878,2019-11-19,"고기류,탕",2020-10-31
168,진가진설렁탕,전라북도 전주시 덕진구 동부대로 1022 (송천동2가),063 -251 -9207,2019-11-19,탕,2020-10-31
169,참소박사,"전라북도 전주시 덕진구 쪽구름로 134-1, 1층 (반월동)",063 -214 -2088,2019-11-19,고기류,2020-10-31
170,개성집송천점,"전라북도 전주시 덕진구 사근1길 57, 1층 101호102호103호일부호 (송천동2가)",063 -252 -0011,2019-11-19,조림류,2020-10-31
171,명륜진사갈비인후안골점,"전라북도 전주시 덕진구 안덕원로 235-1, 1층 (인후동1가)",063 -245 -1177,2019-11-19,돼지갈비,2020-10-31
172,호수집,"전라북도 전주시 덕진구 인교9길 35, 1층 101호,102호 (우아동1가)",063 -244 -8999,2019-11-19,구이류,2020-10-31
173,갑기원전주만성점,"전라북도 전주시 덕진구 만성중앙로 53-37, 3층 301,302호 (만성동)",063 -225 -7744,2019-11-19,"비빔밥, 구이류",2020-10-31
